"","0","0.025","0.05","0.075","0.1","0.125","0.15","0.175","0.2","0.225","0.25","0.275","0.3","0.325","0.35","0.375","0.4","0.425","0.45","0.475","0.5","0.525","0.55","0.575","0.6","0.625","0.65","0.675","0.7","0.725","0.75","0.775","0.8","0.825","0.85","0.875","0.9","0.925","0.95","0.975","1","1.025","1.05","1.075","1.1","1.125","1.15","1.175","1.2","1.225","1.25","1.275","1.3","1.325","1.35","1.375","1.4","1.425","1.45","1.475","1.5","1.525","1.55","1.575","1.6","1.625","1.65","1.675","1.7","1.725","1.75","1.775","1.8","1.825","1.85","1.875","1.9","1.925","1.95","1.975","2","2.025","2.05","2.075","2.1","2.125","2.15","2.175","2.2","2.225","2.25","2.275","2.3","2.325","2.35","2.375","2.4","2.425","2.45","2.475","2.5","2.525","2.55","2.575","2.6","2.625","2.65","2.675","2.7","2.725","2.75","2.775","2.8","2.825","2.85","2.875","2.9","2.925","2.95","2.975","3"
"Teórico",369.1198,367.99482,353.5489,340.07518,320.24686,297.62764,274.4041,249.82286,226.35376,204.47722,183.70698,164.45566,147.37034,132.16642,117.14908,105.00708,93.70246,84.23162,75.41414,67.38074,61.12902,54.85072,49.0372,44.21132,39.88466,36.2404,32.92924,29.81536,27.30656,24.56322,22.4644,20.49626,18.77208,17.10718,15.6287,14.47132,13.36076,12.276,11.39148,10.54222,9.75906,9.0568,8.3543,7.85064,7.32012,6.86302,6.35422,5.97114,5.59698,5.26022,4.94336,4.6962,4.39422,4.14356,3.9288,3.7318,3.53432,3.34828,3.18352,3.04334,2.90134,2.7793,2.65634,2.56574,2.44632,2.34724,2.26072,2.17892,2.08782,2.02276,1.94632,1.87692,1.8293,1.78158,1.7178,1.67378,1.62864,1.59234,1.54216,1.51052,1.46686,1.44356,1.41176,1.38226,1.35484,1.32812,1.30844,1.28736,1.26256,1.24756,1.2258,1.21234,1.19608,1.17778,1.16534,1.14998,1.13912,1.13004,1.1188,1.11092,1.09978,1.0923,1.08322,1.0795,1.07032,1.0667,1.06058,1.05486,1.04938,1.04532,1.04106,1.0368,1.03518,1.02864,1.02694,1.02536,1.0212,1.01966,1.0174,1.01648,1.01452
"Fase I (20 subgrupos)",66.89546,60.99988,55.5588,50.67862,46.00202,41.79398,38.07456,34.72148,31.53864,28.92502,26.0806,23.89524,21.77132,19.98192,18.19172,16.82236,15.37586,14.1004,13.04248,12.01834,11.08452,10.25554,9.53504,8.87764,8.23532,7.69624,7.1224,6.67156,6.2395,5.8423,5.51554,5.22496,4.88554,4.58188,4.33462,4.0868,3.85528,3.66898,3.48936,3.30502,3.15214,3.00188,2.87324,2.72278,2.61948,2.50464,2.40038,2.32242,2.23324,2.14982,2.0677,1.98992,1.9392,1.87586,1.82682,1.75366,1.70224,1.659,1.62416,1.57744,1.53636,1.49614,1.46592,1.42694,1.39922,1.37972,1.3487,1.32326,1.29988,1.2779,1.26056,1.2389,1.21974,1.20228,1.18886,1.17446,1.16176,1.14994,1.13736,1.12598,1.1186,1.10744,1.09948,1.09054,1.08452,1.07596,1.06878,1.06374,1.05794,1.0526,1.04696,1.04582,1.03956,1.03628,1.03228,1.03052,1.02646,1.02416,1.0199,1.01952,1.01748,1.01576,1.01364,1.01132,1.0114,1.00908,1.00814,1.00748,1.00694,1.00564,1.00552,1.0051,1.00378,1.00372,1.00366,1.00254,1.0026,1.00188,1.00186,1.00146,1.00146
"Fase I (50 subgrupos)",205.12666,193.06822,180.2461,166.05098,151.54686,139.525,126.70004,113.60828,101.72718,92.45826,83.00236,74.34488,67.45476,60.51928,54.39432,49.21068,44.34496,40.38786,36.22308,33.22234,29.99752,27.20868,24.64924,22.45626,20.4676,18.91238,17.43988,15.75222,14.56846,13.40606,12.44194,11.44602,10.54762,9.7749,9.04728,8.44796,7.79114,7.33334,6.84642,6.4026,5.98078,5.67186,5.2687,4.98282,4.69712,4.41878,4.1613,3.9188,3.73948,3.55098,3.36644,3.227,3.0558,2.92372,2.79374,2.6663,2.54538,2.44124,2.34542,2.25126,2.16996,2.10778,2.01764,1.9555,1.88988,1.83484,1.77626,1.72506,1.67614,1.62512,1.5933,1.5426,1.50146,1.46984,1.4474,1.41492,1.3755,1.3497,1.3284,1.30946,1.2865,1.2625,1.24682,1.22534,1.21234,1.19662,1.17774,1.16724,1.15548,1.14022,1.12892,1.12166,1.11138,1.09962,1.09424,1.08614,1.08118,1.07132,1.0658,1.05964,1.05462,1.0487,1.04324,1.04082,1.03624,1.03296,1.03026,1.02704,1.02406,1.02122,1.0204,1.01828,1.01592,1.01486,1.01272,1.01208,1.01042,1.00894,1.00804,1.0071,1.0062
